Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
398,Mesut Ã–zil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,18,1449,81,57.5,16.1,18,81,0,,2,1.33,24,20,+4,+0.25,+0.25,20.1,23.4,-3.3,-0.21,-0.11,Matches
399,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,14,1023,73,39.2,11.4,13,78,1,15,5,1.07,13,21,-8,-0.70,-1.84,19.6,11.5,+8.0,+0.71,-0.09,Matches
400,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,19,1697,89,67.3,18.9,19,89,0,,5,1.53,27,25,+2,+0.11,-0.11,25.2,26.9,-1.7,-0.09,+0.22,Matches
401,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,2,5,3,0.2,0.1,0,,2,3,1,1.50,0,0,0,0.00,-0.24,0.2,0.0,+0.2,+3.42,+3.58,Matches
402,Rui PatrÃ­cio\Rui-Patricio,pt POR,GK,Wolves,31,1988,29,2610,90,100.0,29.0,29,90,0,,0,1.48,41,34,+7,+0.24,,38.9,27.9,+11.0,+0.38,,Matches
403,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,9,656,73,25.1,7.3,8,81,1,6,8,1.00,10,12,-2,-0.27,-0.92,12.2,8.0,+4.1,+0.57,-0.26,Matches
404,JoÃ£o Pedro\Joao-Pedro,br BRA,FW,Watford,17,2001,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
405,Nicolas PÃ©pÃ©\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,24,1594,66,63.3,17.7,17,83,7,26,4,1.50,30,25,+5,+0.28,+0.38,24.2,26.7,-2.5,-0.14,+0.05,Matches
406,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,23,1453,63,55.7,16.1,18,77,5,14,4,1.61,24,16,+8,+0.50,+0.03,23.1,16.3,+6.7,+0.42,-0.21,Matches
407,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28,2520,90,96.6,28.0,28,90,0,,0,1.79,56,27,+29,+1.04,+0.04,45.0,34.3,+10.7,+0.38,-0.76,Matches
408,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,23,1327,58,50.8,14.7,13,79,10,30,1,1.04,13,17,-4,-0.27,+0.64,17.1,18.2,-1.1,-0.08,+0.51,Matches
409,Ayoze PÃ©rez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,25,1594,64,61.1,17.7,21,73,4,17,4,1.72,32,17,+15,+0.85,-0.48,26.5,18.3,+8.2,+0.47,+0.15,Matches
410,Taylor Perry\Taylor-Perry,eng ENG,MF,Wolves,18,2001,0,,,,,0,,0,,3,,,,,,,,,,,,Matches
411,Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,22,1997,0,,,,,0,,0,,2,,,,,,,,,,,,Matches
412,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,29,2610,90,100.0,29.0,29,90,0,,0,1.28,37,46,-9,-0.31,,41.5,37.0,+4.5,+0.15,,Matches
413,Brandon Pierrick\Brandon-Pierrick,eng ENG,DF,Crystal Palace,17,2001,1,7,7,0.3,0.1,0,,1,7,7,1.00,1,0,+1,+12.86,+13.10,0.9,0.0,+0.9,+11.52,+11.89,Matches
414,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,30,1988,15,1234,82,47.3,13.7,14,84,1,54,12,1.00,15,29,-14,-1.02,-1.54,14.0,16.0,-2.0,-0.15,-0.10,Matches
415,Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,23,1995,4,42,11,1.6,0.5,0,,4,11,1,1.50,0,0,0,0.00,-0.25,1.1,0.7,+0.4,+0.83,+0.46,Matches
416,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,7,521,74,20.0,5.8,5,90,2,36,0,1.29,9,5,+4,+0.69,+0.26,10.3,5.1,+5.3,+0.91,+0.50,Matches
417,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,29,2610,90,100.0,29.0,29,90,0,,0,1.34,34,40,-6,-0.21,,33.3,36.0,-2.7,-0.09,,Matches
418,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,21,970,46,37.2,10.8,11,72,10,18,5,1.62,21,10,+11,+1.02,-0.02,16.7,15.0,+1.7,+0.15,-0.40,Matches
419,Sebastian PrÃ¶dl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,1,57,57,2.2,0.6,1,57,0,,1,1.00,0,0,0,0.00,+0.60,1.3,0.5,+0.9,+1.36,+1.73,Matches
420,Davy PrÃ¶pper\Davy-Propper,nl NED,MF,Brighton,27,1991,26,2340,90,89.7,26.0,26,90,0,,1,1.00,28,36,-8,-0.31,-0.31,31.2,35.3,-4.1,-0.16,+0.62,Matches
