Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
77,Ã‰tienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,30,1988,33,2946,89,86.1,32.7,33,89,0,,0,1.36,44,48,-4,-0.12,+0.45,39.6,46.1,-6.5,-0.20,-0.06,Matches
78,Andy Carroll\Andy-Carroll,eng ENG,FW,West Ham,29,1989,12,455,38,13.3,5.1,3,67,9,28,4,1.42,4,7,-3,-0.59,-0.59,6.4,8.1,-1.7,-0.33,+0.01,Matches
79,Lewis Cass\Lewis-Cass,eng ENG,DF,Newcastle Utd,18,2000,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
80,Jonny Castro\Jonny-Castro,es ESP,DFMF,Wolves,24,1994,33,2779,84,81.3,30.9,32,86,1,14,1,1.45,37,39,-2,-0.06,-0.49,37.5,32.6,+4.8,+0.16,-0.66,Matches
81,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,29,1989,36,3098,86,90.6,34.4,35,88,1,8,1,1.36,49,54,-5,-0.15,+0.41,44.1,49.5,-5.5,-0.16,+0.33,Matches
82,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Wolves,24,1993,23,682,30,19.9,7.6,6,66,17,17,9,1.48,10,11,-1,-0.13,-0.20,10.5,8.4,+2.1,+0.27,-0.01,Matches
83,Petr ÄŒech\Petr-Cech,cz CZE,GK,Arsenal,36,1982,7,585,84,17.1,6.5,7,84,0,,29,2.14,12,9,+3,+0.46,-0.14,8.0,8.9,-0.9,-0.14,-0.20,Matches
84,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MFFW,Watford,23,1994,9,266,30,7.8,3.0,3,73,6,8,11,1.22,1,7,-6,-2.03,-2.00,3.2,4.7,-1.5,-0.51,-0.35,Matches
85,Calum Chambers\Calum-Chambers,eng ENG,MFDF,Fulham,23,1995,31,2586,83,75.6,28.7,29,88,2,11,2,0.84,26,52,-26,-0.90,+1.36,30.8,43.7,-12.8,-0.45,+0.96,Matches
86,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,21,1996,36,3240,90,94.7,36.0,36,90,0,,0,1.44,50,43,+7,+0.19,+2.19,47.3,40.3,+7.0,+0.20,+0.07,Matches
