Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
612,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Sunderland,21,1993,36,2768,77,80.9,30.8,31,,5,,0,1.03,24,40,-16,-0.52,+0.31,Matches
613,Andy Wilkinson\Andy-Wilkinson,eng ENG,DF,Stoke City,29,1984,0,,,,,0,,0,,2,,,,,,,Matches
614,Ashley Williams\Ashley-Williams,wal WAL,DF,Swansea City,29,1984,37,3330,90,97.4,37.0,37,,0,,0,1.51,46,48,-2,-0.05,+0.95,Matches
615,Jonny Williams\Jonny-Williams,wal WAL,MF,Crystal Palace,20,1993,2,36,18,1.1,0.4,0,,2,,1,0.50,0,0,0,0.00,+0.11,Matches
616,Jordan Williams\Jordan-Williams,wal WAL,MF,Liverpool,18,1995,0,,,,,0,,0,,3,,,,,,,Matches
617,Mike Williamson\Mike-Williamson,eng ENG,DF,Newcastle Utd,30,1983,31,2420,78,70.8,26.9,27,,4,,2,0.94,25,51,-26,-0.97,-1.24,Matches
618,Willian\Willian,br BRA,FWMF,Chelsea,25,1988,36,2402,67,70.2,26.7,28,,8,,1,2.33,49,18,+31,+1.16,+0.28,Matches
619,Jack Wilshere\Jack-Wilshere,eng ENG,MF,Arsenal,22,1992,14,729,52,21.3,8.1,9,,5,,3,1.29,9,12,-3,-0.37,-1.64,Matches
620,James Wilson\James-Wilson,eng ENG,FW,Manchester Utd,18,1995,13,357,27,10.4,4.0,2,,11,,9,2.31,9,3,+6,+1.51,+0.95,Matches
621,Marc Wilson\Marc-Wilson,ie IRL,DFMF,Stoke City,26,1987,27,2123,79,62.1,23.6,25,,2,,7,1.44,25,25,0,0.00,-0.21,Matches
622,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,18,1996,0,,,,,0,,0,,1,,,,,,,Matches
623,Andre Wisdom\Andre-Wisdom,eng ENG,DF,West Brom,21,1993,24,1972,82,57.7,21.9,22,,2,,11,1.17,19,29,-10,-0.46,-0.27,Matches
624,Philipp Wollscheid\Philipp-Wollscheid,de GER,DF,Stoke City,25,1989,12,1006,84,29.4,11.2,12,,0,,5,1.75,14,15,-1,-0.09,-0.24,Matches
625,Chris Wood\Chris-Wood,nz NZL,FW,Leicester City,22,1991,7,114,16,3.3,1.3,0,,7,,12,0.71,1,3,-2,-1.58,-1.39,Matches
626,Freddie Woodman\Freddie-Woodman,eng ENG,GK,Newcastle Utd,17,1997,0,,,,,0,,0,,18,,,,,,,Matches
627,Shaun Wright-Phillips\Shaun-Wright-Phillips,eng ENG,FWMF,QPR,32,1981,4,129,32,3.8,1.4,1,,3,,10,0.80,1,4,-3,-2.09,-1.33,Matches
628,Claudio Yacob\Claudio-Yacob,ar ARG,MF,West Brom,27,1987,20,1393,70,40.7,15.5,16,,4,,9,1.55,18,18,0,0.00,+0.58,Matches
629,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Tottenham,21,1993,1,12,12,0.4,0.1,0,,1,,6,0.00,0,0,0,0.00,-0.13,Matches
